,ND##length##millimeters,POD##length##inches,FOD##length##inches,FWid##length##inches,CRad##length##inches,BHgt##length##inches,BDia##length##inches,SHgt##length##inches
2,50,2.375,6,0.62,4.5,0.5,4.62,3.62
2.5,65,2.875,7,0.69,5,0.5,4.62,4
3,80,3.5,7.5,0.75,5.5,0.56,5,4.32
3.5,90,4,8.5,0.81,6,0.56,5,4.69
4,100,4.5,9,0.94,6.5,0.62,6,4.88
5,125,5.563,10,0.94,7.5,0.69,7,5.56
6,150,6.625,10,1,8,0.69,7,6.31
8,200,8.625,11,1.12,9,0.94,9,7.44
10,250,10.75,13.5,1.19,11,0.94,9,8.81
12,300,12.75,16,1.25,12,1,11,10.25
14,350,14,19,1.38,14,1,11,11.5
16,400,16,21,1.44,15,1,11,12.75
18,450,18,23.5,1.56,16.5,1.12,13.5,13.88
20,500,20,25,1.69,18,1.12,13.5,14.88
24,600,24,32,1.88,22,1.12,13.5,17.38
