,ND##length##millimeters,FDia##length##millimeters,FThk##length##millimeters,RFD##length##millimeters,FID##length##millimeters,WThk##length##millimeters,CtF##length##millimeters,CtFR##length##millimeters,CtFO##length##millimeters,OSaS##length##millimeters,CtB##length##millimeters,BThk##length##millimeters,RThk##length##millimeters,SBWaL##length##millimeters,RCen##length##millimeters,BLgt##length##millimeters,RCen1##length##millimeters,BWid##length##millimeters
2.5,65,191,25.4,125,64,12.7,140,1,1,1,121,19,14,190,0,1,1,1
3,80,210,28.6,144,76,14.3,152,1,1,1,133,21,14,210,0,1,1,1
3.5,90,229,30.2,160,89,14.3,165,1,1,1,143,24,14,229,0,1,1,1
4,100,254,31.8,176,102,15.9,178,1,1,1,152,24,16,254,102,1,1,1
5,125,279,34.9,211,127,17.5,203,1,1,1,171,25,18,279,127,1,1,1
6,150,318,36.5,246,152,19,216,1,1,1,190,27,19,318,152,1,1,1
8,200,381,41.3,303,203,20.6,254,1,1,1,229,29,21,381,203,1,1,1
10,250,445,47.6,357,254,23.8,292,1,1,1,267,32,24,444,127,1,1,1
12,300,521,50.8,418,305,25.4,330,1,1,1,305,32,25,521,152,1,1,1
14,350,584,54,481,337,28.6,381,1,1,1,343,35,29,584,178,1,1,1
16,400,648,57.2,535,387,31.8,419,1,1,1,375,40,32,648,203,1,1,1
18,450,711,60.3,592,432,34.9,457,356,432,300,413,43,35,711,229,521,165,718
20,500,775,63.5,649,483,38.1,495,394,470,350,454,48,38,775,254,584,178,768
24,600,916,69.8,770,584,41.3,572,432,546,400,527,52,41,914,305,648,206,921
30,750,1092,76.2,945,737,50.8,699,521,648,500,629,59,51,1092,254,775,168,1092
