,ND##length##inches,BWid##length##millimeters,FID##length##millimeters,MThk##length##millimeters,BOD##length##millimeters,Lgt##length##millimeters
0.125,0.125,5.1,10.3,2.29,17.6,25.2
0.25,0.25,5.5,13.7,2.41,21.4,25.4
0.375,0.375,5.8,17.1,2.54,25.8,28.7
0.5,0.5,6.3,21.3,2.67,30.4,31.8
0.75,0.75,6.9,26.7,3.05,37,36.6
1,1,7.7,33.4,3.4,45,42.9
1.25,1.25,8.7,42.2,3.68,54.7,52.3
1.5,1.5,9.3,48.3,3.94,61.6,58.7
2,2,10.7,60.3,4.39,75.3,71.4
2.5,2.5,12.1,73,5.33,91.2,82.6
3,3,13.9,88.9,5.87,108.8,93.7
4,4,16.8,114.4,6.73,137.2,111.3
