,ND##length##millimeters,FDia##length##millimeters,FThk##length##millimeters,FID##length##millimeters,WThk##length##millimeters,CtF1##length##millimeters,CtF2##length##millimeters
4,100,229,19,102,11,229,165
5,125,254,19,127,11,260,191
6,150,279,19,152,11,292,203
8,200,343,19,203,12,356,229
10,250,406,22.2,254,13,419,279
12,300,483,25.4,305,14,483,305
14,350,533,28.6,356,15,546,356
16,400,597,28.6,406,15,610,381
18,450,645,31.8,457,16,673,419
20,500,698,31.8,508,17,737,457
24,600,813,34.9,610,19,864,559
30,750,984,38.1,762,22,1054,635
36,900,1168,41.3,914,25,1245,711
42,1050,1346,44.5,1067,28,1435,787
48,1200,1511,50.8,1219,32,1626,864
54,1350,1683,57.2,1372,34,1816,991
60,1500,1854,57.2,1524,35,2007,1118
72,1800,2197,63.5,1829,41,2388,1346
