,ND##length##inches,FDia##length##millimeters,FThk##length##millimeters,FID##length##millimeters,WThk##length##millimeters,CtF1##length##millimeters,CtF2##length##millimeters
4,4,229,19,102,11,229,165
5,5,254,19,127,11,260,191
6,6,279,19,152,11,292,203
8,8,343,19,203,12,356,229
10,10,406,22.2,254,13,419,279
12,12,483,25.4,305,14,483,305
14,14,533,28.6,356,15,546,356
16,16,597,28.6,406,15,610,381
18,18,645,31.8,457,16,673,419
20,20,698,31.8,508,17,737,457
24,24,813,34.9,610,19,864,559
30,30,984,38.1,762,22,1054,635
36,36,1168,41.3,914,25,1245,711
42,42,1346,44.5,1067,28,1435,787
48,48,1511,50.8,1219,32,1626,864
54,54,1683,57.2,1372,34,1816,991
60,60,1854,57.2,1524,35,2007,1118
72,72,2197,63.5,1829,41,2388,1346
