,ND##length##inches,FDia##length##millimeters,FThk##length##millimeters,FID##length##millimeters,WThk##length##millimeters,CtF##length##millimeters,CtB##length##millimeters,BThk##length##millimeters,RThk##length##millimeters,SBWaL##length##millimeters,RCen##length##millimeters
2.5,2.5,178,17.5,64,7.9,127,114,18,11,178,0
3,3,191,19,76,9.5,140,124,19,11,191,0
3.5,3.5,216,23.8,89,11.1,152,133,21,11,216,0
4,4,229,23.8,102,12.7,165,140,24,13,229,108
5,5,254,23.8,127,12.7,191,159,24,13,254,127
6,6,279,25.4,152,14.3,203,178,25,14,279,152
8,8,343,28.6,203,15.9,229,273,29,16,343,203
10,10,406,30.2,254,19,279,248,30,19,406,124
12,12,483,31.8,305,20.6,305,286,32,21,483,146
14,14,533,34.9,356,22.2,356,318,35,22,533,172
16,16,597,36.5,406,25.4,381,349,37,25,597,197
18,18,635,39.7,457,27,419,381,40,27,635,216
20,20,699,42.9,508,28.6,457,406,43,29,699,241
24,24,813,47.6,610,31.8,559,470,48,32,813,289
30,30,984,54,762,36.5,635,559,54,37,984,238
36,36,1168,60.3,914,41.3,711,648,60,41,1168,286
42,42,1346,66.7,1067,46,787,743,67,46,1346,330
48,48,1511,69.9,1219,50.8,864,832,70,51,1511,378
