,ND##length##inches,FDia##length##millimeters,FThk##length##millimeters,FID##length##millimeters,WThk##length##millimeters,CtF1##length##millimeters,CtF2##length##millimeters
1,1,108,11.1,25,7.9,89,45
1.25,1.25,118,12.7,32,7.9,95,51
1.5,1.5,127,14.3,38,7.9,102,57
2,2,152,15.9,51,7.9,114,64
2.5,2.5,178,17.5,64,7.9,127,76
3,3,191,19,76,9.5,140,76
3.5,3.5,216,23.8,89,11.1,152,89
4,4,229,23.8,102,12.7,165,102
5,5,254,23.8,127,12.7,191,114
6,6,279,25.4,152,14.3,203,127
8,8,343,28.6,203,15.9,229,140
10,10,406,30.2,254,19,279,165
12,12,483,31.8,305,20.6,305,191
14,14,533,34.9,356,22.2,356,191
16,16,597,36.5,406,25.4,381,203
18,18,635,39.7,457,27,419,216
20,20,699,42.9,508,28.6,457,241
24,24,813,47.6,610,31.8,559,279
30,30,984,54,762,36.5,635,381
36,36,1168,60.3,914,41.3,711,457
42,42,1346,66.7,1067,46,787,533
48,48,1511,69.9,1219,50.8,864,610
