,ND1##length##millimeters,ND2##length##millimeters,SED##length##inches,SDpt##length##inches,WThk##length##inches,FOD##length##inches,CtSBR##length##inches,SBtSBR##length##inches,CtSBB##length##inches
2x2x1.25x1.25,50,32,2.39,0.75,0.156,2.375,3.4375,3.0625,3.8125
2x2x1.5x1.5,50,40,2.39,0.75,0.156,2.375,3.9375,3.5,4.1875
3x3x1.5x1.5,80,40,3.52,1.5,0.219,3.5,3.9375,3.5,4.75
3x3x2x2,80,50,3.52,1.5,0.219,3.5,5.125,4.4375,5.6875
4x4x1.5x1.5,100,32,4.52,1.75,0.25,4.5,3.9375,3.5625,5.1875
4x4x2x2,100,50,4.52,1.75,0.25,4.5,5.125,4.5,6.125
4x4x3x3,100,80,4.52,1.75,0.25,4.5,7.5625,6.5,8.0625
6x6x2x2,150,50,6.647,3,0.281,6.625,5.125,4.5625,7.125
6x6x3x3,150,80,6.647,3,0.281,6.625,7.5625,6.625,9.0625
6x6x4x4,150,100,6.647,3,0.281,6.625,10,8.5,11
1.25,1.25,-1,1.675,0.687,0.156,1.66,-1,-1,-1
1.5,1.5,-1,1.915,0.687,0.156,1.9,-1,-1,-1
