,ND##length##millimeters,POD##length##inches,SOD##length##inches,SWid##length##inches,PLgt##length##inches
0.125,3,0.407,0.607,0.5,0.25
0.25,6,0.556,0.79,0.625,0.3125
0.375,10,0.699,0.939,0.75,0.375
0.5,15,0.84,1.142,0.875,0.5
0.75,20,1.05,1.366,1,0.5625
1,25,1.315,1.683,1.125,0.6875
1.25,32,1.66,2.052,1.25,0.875
1.5,40,1.9,2.312,1.375,1
2,50,2.375,2.823,1.5,1.25
2.5,65,2.875,3.441,1.75,1.5
3,80,3.5,4.116,1.875,1.8125
3.5,90,4,4.652,2.125,2.125
4,100,4.5,5.192,2.25,2.3125
5,125,5.563,6.333,2.625,3
6,150,6.625,7.511,3,3.5
8,200,8.625,9.655,4,4.5
10,250,10.75,11.966,5,5.6875
12,300,12.75,14.154,6,6.875
