,ND##length##inches,BSaS##length##inches,FDia##length##millimeters,FThk##length##millimeters,FID##length##millimeters,WThk##length##millimeters,CtFR1##length##millimeters,CtFR2##length##millimeters,CtFB##length##millimeters,CtF##length##millimeters,SCtF##length##millimeters
1,1,1,108,11.1,25,7.9,1,1,1,146,45
1.25,1.25,1,118,12.7,32,7.9,1,1,1,159,45
1.5,1.5,1,127,14.3,38,7.9,1,1,1,178,51
2,2,1,152,15.9,51,7.9,1,1,1,203,64
2.5,2.5,1,178,17.5,64,7.9,1,1,1,241,64
3,3,1,191,19,76,9.5,1,1,1,254,76
3.5,3.5,1,216,23.8,89,11.1,1,1,1,292,76
4,4,1,229,23.8,102,12.7,1,1,1,305,76
5,5,1,254,23.8,127,12.7,1,1,1,343,89
6,6,1,279,25.4,152,14.3,1,1,1,368,89
8,8,1,343,28.6,203,15.9,1,1,1,445,114
10,10,1,406,30.2,254,19,1,1,1,521,127
12,12,1,483,31.8,305,20.6,1,1,1,622,140
14,14,1,533,34.9,356,22.2,1,1,1,686,152
16,16,1,597,36.5,406,25.4,1,1,1,762,165
18,18,8,635,39.7,457,27,25,635,699,813,178
20,20,10,699,42.9,508,28.6,25,686,749,889,203
24,24,12,813,47.6,610,31.8,13,800,876,1029,229
30,30,14,984,54,762,36.5,0,991,1067,1245,254
