,Nominal Size##length##millimeters,POD##length##inches,FOD##length##inches,FWid##length##inches,CRad##length##inches
1,25,1.315,4.25,0.44,3.5
1.25,32,1.66,4.625,0.5,3.75
1.5,40,1.9,5,0.56,4
2,50,2.375,6,0.62,4.5
2.5,65,2.875,7,0.69,5
3,80,3.5,7.5,0.75,5.5
3.5,90,4,8.5,0.81,6
4,100,4.5,9,0.94,6.5
5,125,5.563,10,0.94,7.5
6,150,6.625,10,1,8
8,200,8.625,11,1.12,9
10,250,10.75,13.5,1.19,11
12,300,12.75,16,1.25,12
14,350,14,19,1.38,14
16,400,16,21,1.44,15
18,450,18,23.5,1.56,16.5
20,500,20,25,1.69,18
24,600,24,32,1.88,22
