,ND##length##millimeters,BWid##length##millimeters,FID##length##millimeters,MThk##length##millimeters,BOD##length##millimeters,Hgt##length##millimeters
0.125,6,5.1,10.3,2.29,17.6,13.5
0.25,8,5.5,13.7,2.41,21.4,16
0.375,10,5.8,17.1,2.54,25.8,18.8
0.5,15,6.3,21.3,2.67,30.4,22.1
0.75,20,6.9,26.7,3.05,37,24.6
1,25,7.7,33.4,3.4,45,29.5
1.25,32,8.7,42.2,3.68,54.7,32.5
1.5,40,9.3,48.3,3.94,61.6,33.8
2,50,10.7,60.3,4.39,75.3,36.8
2.5,65,12.1,73,5.33,91.3,43.2
3,80,13.9,88.9,5.87,108.8,45.7
3.5,90,15.3,101.6,6.3,123,48.3
4,100,16.9,114.4,6.73,137.2,52.8
5,125,19.8,141.3,7.62,167.2,58.9
6,150,22.9,168.3,8.53,197.3,64.8
