,ND##length##inches,POD##length##inches,SOD##length##inches,SWid##length##inches,PLgt##length##inches
0.25,0.25,0.556,0.79,0.625,0.31
0.375,0.375,0.699,0.939,0.75,0.38
0.5,0.5,0.84,1.142,0.875,0.5
0.75,0.75,1.05,1.366,1,0.56
1,1,1.315,1.683,1.125,0.69
1.25,1.25,1.66,2.052,1.25,0.88
1.5,1.5,1.9,2.312,1.375,1
2,2,2.375,2.823,1.5,1.25
2.5,2.5,2.875,3.441,1.75,1.5
3,3,3.5,4.116,1.875,1.81
3.5,3.5,4,4.652,2.125,2.13
4,4,4.5,5.192,2.25,2.31
5,5,5.563,6.333,2.625,3
6,6,6.625,7.511,3,3.5
8,8,8.625,9.655,4,4.5
